dataset,run_id,loss,seed,threshold_convention,threshold,threshold_mean,threshold_min,threshold_max,n_images,tp_global_count,fp_global_count,fn_global_count,f1_global,iou_global,precision_global,recall_global,f1_per_image_mean,iou_per_image_mean,precision_per_image_mean,recall_per_image_mean,case_A_both_empty,case_B_gt_empty_pred_nonempty,case_C_gt_nonempty_pred_empty,case_D_both_nonempty,ods_selected_f1_global
Crack500,bce_dice_seed2,bce_dice,2,val_selected,0.5,0.5,0.5,0.5,1124,10939872,4336428,3537496,0.7353629139103118,0.581481376751401,0.7161336187427584,0.7556533756688371,0.6896767360910775,0.5498043327601759,0.6984975898618886,0.7351472427352397,0,0,9,1115,
Crack500,bce_dice_seed2,bce_dice,2,ODS_test_oracle,0.5,0.5,0.5,0.5,1124,10939872,4336428,3537496,0.7353629139103118,0.581481376751401,0.7161336187427584,0.7556533756688371,0.6896767360910775,0.5498043327601759,0.6984975898618886,0.7351472427352397,0,0,9,1115,0.7353629139103118
Crack500,bce_dice_seed2,bce_dice,2,OIS_test_oracle,,0.4218683274021352,0.01,0.99,1124,11584129,4079820,2893239,0.7686544685489357,0.6242394591249493,0.7395407760839875,0.800154351260533,0.7303895617209296,0.5955693821649471,0.7112318655168561,0.770491719085966,0,0,6,1118,
Crack500,focal_tversky_seed0,focal_tversky,0,fixed_0.5,0.5,0.5,0.5,0.5,1124,11503423,5298262,2973945,0.7355352478222407,0.5816969168618142,0.6846588898672961,0.7945797191865261,0.6852475608027842,0.546590157238953,0.6594108733752915,0.7725419520722265,0,0,14,1110,
Crack500,focal_tversky_seed0,focal_tversky,0,val_selected,0.99,0.9900000000000002,0.99,0.99,1124,11331446,4979724,3145922,0.7360821095175094,0.5823812725971589,0.6947046717065667,0.7827006953197571,0.6845012611597742,0.5462473263103567,0.6697110938123143,0.7589821761636619,0,0,14,1110,
Crack500,focal_tversky_seed0,focal_tversky,0,ODS_test_oracle,0.99,0.9900000000000002,0.99,0.99,1124,11331446,4979724,3145922,0.7360821095175094,0.5823812725971589,0.6947046717065667,0.7827006953197571,0.6845012611597742,0.5462473263103567,0.6697110938123143,0.7589821761636619,0,0,14,1110,0.7360821095175094
Crack500,focal_tversky_seed0,focal_tversky,0,OIS_test_oracle,,0.5621352313167259,0.01,0.99,1124,11540705,5178271,2936663,0.739875480280638,0.5871447374465923,0.6902758278975937,0.7971549110307896,0.6909661069980866,0.5530973338384453,0.6625489795922268,0.7752292551955662,0,0,14,1110,
Crack500,focal_tversky_seed1,focal_tversky,1,fixed_0.5,0.5,0.5,0.5,0.5,1124,11704743,5865798,2772625,0.7304528354720428,0.5753648670025108,0.6661572344300611,0.8084855617402279,0.6866648239580249,0.5460803918602004,0.6466551310174197,0.797936950949788,0,0,9,1115,
Crack500,focal_tversky_seed1,focal_tversky,1,val_selected,0.99,0.9900000000000002,0.99,0.99,1124,11544178,5526482,2933190,0.7318478353068534,0.5770978086718307,0.6762584457777262,0.7973948027017066,0.6872029247823069,0.5471275773864543,0.6564652430933362,0.7854851020715078,0,0,10,1114,
Crack500,focal_tversky_seed1,focal_tversky,1,ODS_test_oracle,0.99,0.9900000000000002,0.99,0.99,1124,11544178,5526482,2933190,0.7318478353068534,0.5770978086718307,0.6762584457777262,0.7973948027017066,0.6872029247823069,0.5471275773864543,0.6564652430933362,0.7854851020715078,0,0,10,1114,0.7318478353068534
Crack500,focal_tversky_seed1,focal_tversky,1,OIS_test_oracle,,0.6177846975088968,0.01,0.99,1124,11734266,5712047,2743102,0.7351449226672826,0.5812088166001839,0.6725928853850094,0.8105248136263442,0.6925668891971661,0.5527821282247056,0.6510829189557888,0.7995345834237804,0,0,9,1115,
Crack500,focal_tversky_seed2,focal_tversky,2,fixed_0.5,0.5,0.5,0.5,0.5,1124,11857124,6135225,2620244,0.7303496978430702,0.5752368952319584,0.6590092266440586,0.8190110246558628,0.6866968560479134,0.5456124049984308,0.6395793624210844,0.8071311649178121,0,0,9,1115,
Crack500,focal_tversky_seed2,focal_tversky,2,val_selected,0.99,0.9900000000000002,0.99,0.99,1124,11716995,5821948,2760373,0.7319391044146216,0.5772113208149476,0.6680559370082907,0.8093318481646664,0.6874508223594735,0.5467636853373137,0.6489881082646222,0.7959864792379127,0,0,10,1114,
Crack500,focal_tversky_seed2,focal_tversky,2,ODS_test_oracle,0.99,0.9900000000000002,0.99,0.99,1124,11716995,5821948,2760373,0.7319391044146216,0.5772113208149476,0.6680559370082907,0.8093318481646664,0.6874508223594735,0.5467636853373137,0.6489881082646222,0.7959864792379127,0,0,10,1114,0.7319391044146216
Crack500,focal_tversky_seed2,focal_tversky,2,OIS_test_oracle,,0.6315658362989324,0.01,0.99,1124,11872548,5976557,2604820,0.7345402636408865,0.5804532870830416,0.665162090760293,0.8200764116792499,0.6918223752827094,0.5515091041119013,0.6446883525290209,0.8079696197549515,0,0,8,1116,
Crack500,dice_boundary_seed0,dice_boundary,0,fixed_0.5,0.5,0.5,0.5,0.5,1124,10663003,3735021,3814365,0.7385529519391459,0.5854807406101418,0.7405879445679491,0.736529112197742,0.6922676993450377,0.5527582599584445,0.7078860056687749,0.7221113657686887,0,0,16,1108,
Crack500,dice_boundary_seed0,dice_boundary,0,val_selected,0.01,0.009999999999999998,0.01,0.01,1124,10881373,4036364,3595995,0.7403527219923182,0.5877460578990773,0.7294251802401397,0.7516126550074571,0.6949590163649306,0.5554789465798206,0.6969060609431762,0.7391449649030666,0,0,15,1109,
